"Uso_solo","Municipio","Area_m2","Fid_1","Last_last","Cn_mancha1","Cn_mancha2","Altitude_mancha1","Altitude_mancha2","Dif_altitude","Comprimento","Dif_cn","Valoracao"
"Plantios Florestais","Alto Piquiri","37832,71","9965","9965","70","73","343,6957746","353,8780488","10,18227413","341,3939694","3","10428,50095"
"Pastagem/Campo","Alto Piquiri","29871,82","10260","9965","79","73","342,3469388","353,8780488","11,53111","85,77885816","-6","-5934,752697"
"Plantios Florestais","Alto Piquiri","37832,71","9965","9965","79","73","342,3469388","353,8780488","11,53111","85,77885816","-6","-5934,752697"
"Agricultura Anual","Alto Piquiri","117000000","9505","9966","82","73","352,2107826","351,8378378","0,372944737","376,5107293","9","1263,759254"
"Plantios Florestais","Alto Piquiri","21097,72","9966","9966","82","73","352,2107826","351,8378378","0,372944737","376,5107293","9","1263,759254"
"Floresta Nativa","Alto Piquiri","76859,93","9734","9966","70","73","356,3297872","351,8378378","4,491949396","375,5097285","-3","-5060,312095"
"Plantios Florestais","Alto Piquiri","21097,72","9966","9966","70","73","356,3297872","351,8378378","4,491949396","375,5097285","-3","-5060,312095"
"Pastagem/Campo","Alto Piquiri","478460,31","10235","9966","79","73","357,8832487","351,8378378","6,045410893","15,93156467","6","577,8771276"
"Plantios Florestais","Alto Piquiri","21097,72","9966","9966","79","73","357,8832487","351,8378378","6,045410893","15,93156467","6","577,8771276"
"Pastagem/Campo","Alto Piquiri","12483,18","10259","9967","79","73","352,1724138","348,2777778","3,894636015","51,28183373","6","1198,344459"
"Plantios Florestais","Alto Piquiri","33261,66","9967","9967","79","73","352,1724138","348,2777778","3,894636015","51,28183373","6","1198,344459"
"Pastagem/Campo","Alto Piquiri","19637,17","10234","9967","79","73","344,0606061","348,2777778","4,217171717","340,1097399","-6","-8605,807054"
"Plantios Florestais","Alto Piquiri","33261,66","9967","9967","79","73","344,0606061","348,2777778","4,217171717","340,1097399","-6","-8605,807054"
"Agricultura Anual","Alto Piquiri","35272412,57","10595","9967","82","73","384,7726229","348,2777778","36,49484508","558,7414134","9","183520,6319"
"Plantios Florestais","Alto Piquiri","33261,66","9967","9967","82","73","384,7726229","348,2777778","36,49484508","558,7414134","9","183520,6319"
"Floresta Nativa","Alto Piquiri","1952777,44","9740","9967","70","73","311,048522","348,2777778","37,22925575","150,3352596","3","16790,60948"
"Plantios Florestais","Alto Piquiri","33261,66","9967","9967","70","73","311,048522","348,2777778","37,22925575","150,3352596","3","16790,60948"
"Floresta Nativa","Alto Piquiri","1952777,44","9740","9967","70","73","311,048522","348,2777778","37,22925575","150,3352596","3","16790,60948"
"Plantios Florestais","Alto Piquiri","33261,66","9967","9967","70","73","311,048522","348,2777778","37,22925575","150,3352596","3","16790,60948"
"Floresta Nativa","Alto Piquiri","1952777,44","9740","9968","70","73","311,048522","327,75","16,70147797","414,4706365","3","20766,81661"
"Plantios Florestais","Alto Piquiri","11635,13","9968","9968","70","73","311,048522","327,75","16,70147797","414,4706365","3","20766,81661"
"Agricultura Anual","Alto Piquiri","117000000","9505","9968","82","73","352,2107826","327,75","24,46078258","358,2314505","9","78863,5946"
"Plantios Florestais","Alto Piquiri","11635,13","9968","9968","82","73","352,2107826","327,75","24,46078258","358,2314505","9","78863,5946"
"Floresta Nativa","Alto Piquiri","419102,18","9783","9969","70","73","353,9784689","352,7627119","1,215757036","496,4653509","-3","-1810,743731"
"Plantios Florestais","Alto Piquiri","35286,63","9969","9969","70","73","353,9784689","352,7627119","1,215757036","496,4653509","-3","-1810,743731"
"Agricultura Anual","Alto Piquiri","35272412,57","10595","9969","82","73","384,7726229","352,7627119","32,00991099","608,2173616","9","175220,8525"
"Plantios Florestais","Alto Piquiri","35286,63","9969","9969","82","73","384,7726229","352,7627119","32,00991099","608,2173616","9","175220,8525"
"Floresta Nativa","Alto Piquiri","2243831,65","9800","9970","55","36","296,6035479","363,25","-66,64645214","527,68415","-19","668197,2525"
"Plantios Florestais","Alto Piquiri","35541,86","9970","9970","55","36","296,6035479","363,25","-66,64645214","527,68415","-19","668197,2525"
"Agricultura Anual","Alto Piquiri","117000000","9505","9970","82","36","352,2107826","363,25","11,03921743","499,9360229","-46","-253869,5129"
"Plantios Florestais","Alto Piquiri","35541,86","9970","9970","82","36","352,2107826","363,25","11,03921743","499,9360229","-46","-253869,5129"
"Floresta Nativa","Alto Piquiri","1333415,99","9711","9971","55","36","370,5298507","362,8731988","7,656651899","3676,25552","19","534808,3674"
"Plantios Florestais","Alto Piquiri","281019,7","9971","9971","55","36","370,5298507","362,8731988","7,656651899","3676,25552","19","534808,3674"
"Agricultura Anual","Alto Piquiri","117000000","9505","9971","82","36","352,2107826","362,8731988","10,66241627","4073,951457","-46","-1998155,65"
"Plantios Florestais","Alto Piquiri","281019,7","9971","9971","82","36","352,2107826","362,8731988","10,66241627","4073,951457","-46","-1998155,65"
"Agricultura Anual","Alto Piquiri","117000000","9505","9971","82","36","352,2107826","362,8731988","10,66241627","4073,951457","-46","-1998155,65"
"Plantios Florestais","Alto Piquiri","281019,7","9971","9971","82","36","352,2107826","362,8731988","10,66241627","4073,951457","-46","-1998155,65"
"Floresta Nativa","Alto Piquiri","179801,84","9699","9971","70","36","375,9226519","362,8731988","13,04945309","862,5736159","34","382707,8738"
"Plantios Florestais","Alto Piquiri","281019,7","9971","9971","70","36","375,9226519","362,8731988","13,04945309","862,5736159","34","382707,8738"
"Pastagem/Campo","Alto Piquiri","192609,42","10202","9971","69","36","381,2462687","362,8731988","18,37306981","121,0769068","33","73410,29722"
"Plantios Florestais","Alto Piquiri","281019,7","9971","9971","69","36","381,2462687","362,8731988","18,37306981","121,0769068","33","73410,29722"
"Floresta Nativa","Alto Piquiri","179801,84","9699","9972","70","73","375,9226519","373,5757576","2,346894358","455,7145594","-3","-3208,541785"
"Plantios Florestais","Alto Piquiri","18207,57","9972","9972","70","73","375,9226519","373,5757576","2,346894358","455,7145594","-3","-3208,541785"
"Agricultura Anual","Alto Piquiri","117000000","9505","9972","82","73","352,2107826","373,5757576","21,364975","370,3924698","-9","-71220,83271"
"Plantios Florestais","Alto Piquiri","18207,57","9972","9972","82","73","352,2107826","373,5757576","21,364975","370,3924698","-9","-71220,83271"
"Floresta Nativa","Alto Piquiri","179801,84","9699","9973","70","36","375,9226519","377,8888889","1,966236955","663,4019943","-34","-44349,78759"
"Plantios Florestais","Alto Piquiri","39156,86","9973","9973","70","36","375,9226519","377,8888889","1,966236955","663,4019943","-34","-44349,78759"
"Agricultura Anual","Alto Piquiri","117000000","9505","9973","82","36","352,2107826","377,8888889","25,67810631","662,4446304","-46","-782474,8877"
"Plantios Florestais","Alto Piquiri","39156,86","9973","9973","82","36","352,2107826","377,8888889","25,67810631","662,4446304","-46","-782474,8877"
"Pastagem/Campo","Alto Piquiri","52867,1","10281","9974","79","73","335,6393443","342,4615385","6,8221942","331,3314558","-6","-13562,44521"
"Plantios Florestais","Alto Piquiri","14851,47","9974","9974","79","73","335,6393443","342,4615385","6,8221942","331,3314558","-6","-13562,44521"
"Agricultura Anual","Alto Piquiri","35272412,57","10595","9974","82","73","384,7726229","342,4615385","42,31108439","342,3238919","9","130356,8557"
"Plantios Florestais","Alto Piquiri","14851,47","9974","9974","82","73","384,7726229","342,4615385","42,31108439","342,3238919","9","130356,8557"
"Agricultura Anual","Alto Piquiri","20209058,41","10098","9975","82","73","367,7258836","381,4747475","13,74886386","1340,939852","-9","-165927,5953"
"Plantios Florestais","Alto Piquiri","100009,91","9975","9975","82","73","367,7258836","381,4747475","13,74886386","1340,939852","-9","-165927,5953"
"Pastagem/Campo","Alto Piquiri","47240,74","10272","9976","79","73","343,6909091","338,952381","4,738528139","142,6447138","6","4055,555941"
"Plantios Florestais","Alto Piquiri","16928,67","9976","9976","79","73","343,6909091","338,952381","4,738528139","142,6447138","6","4055,555941"
"Floresta Nativa","Alto Piquiri","1362994,65","10489","9976","70","73","354,1027778","338,952381","15,15039683","474,2028544","-3","-21553,08426"
"Plantios Florestais","Alto Piquiri","16928,67","9976","9976","70","73","354,1027778","338,952381","15,15039683","474,2028544","-3","-21553,08426"
"Pastagem/Campo","Alto Piquiri","820052,37","10284","9977","79","36","383,4413646","391,5384615","8,097096932","506,0353981","-43","-176188,9598"
"Plantios Florestais","Alto Piquiri","14700,32","9977","9977","79","36","383,4413646","391,5384615","8,097096932","506,0353981","-43","-176188,9598"
"Floresta Nativa","Alto Piquiri","1362994,65","10489","9978","70","73","354,1027778","367,2278481","13,12507032","728,2915872","3","28676,63489"
"Plantios Florestais","Alto Piquiri","53548,55","9978","9978","70","73","354,1027778","367,2278481","13,12507032","728,2915872","3","28676,63489"
"Agricultura Anual","Alto Piquiri","35272412,57","10595","9978","82","73","384,7726229","367,2278481","17,54477475","402,0203589","9","63480,20979"
"Plantios Florestais","Alto Piquiri","53548,55","9978","9978","82","73","384,7726229","367,2278481","17,54477475","402,0203589","9","63480,20979"
"Agricultura Anual","Alto Piquiri","35272412,57","10595","9979","82","36","384,7726229","393,4375","8,664877145","329,2394843","-46","-131229,7054"
"Plantios Florestais","Alto Piquiri","10047,82","9979","9979","82","36","384,7726229","393,4375","8,664877145","329,2394843","-46","-131229,7054"
"Pastagem/Campo","Alto Piquiri","476756,5","10436","9980","79","73","356,2748691","358,4210526","2,146183522","616,314775","-6","-7936,347687"
"Plantios Florestais","Alto Piquiri","13990,87","9980","9980","79","73","356,2748691","358,4210526","2,146183522","616,314775","-6","-7936,347687"
"Agricultura Anual","Alto Piquiri","32070937,64","9941","9980","82","73","363,9671945","358,4210526","5,546141885","391,4256785","9","19538,12115"
"Plantios Florestais","Alto Piquiri","13990,87","9980","9980","82","73","363,9671945","358,4210526","5,546141885","391,4256785","9","19538,12115"
"Pastagem/Campo","Alto Piquiri","9737704,11","10433","9981","79","73","388,9450379","397,5789474","8,633909436","696,2360367","-6","-36067,43332"
"Plantios Florestais","Alto Piquiri","26482,96","9981","9981","79","73","388,9450379","397,5789474","8,633909436","696,2360367","-6","-36067,43332"
"Pastagem/Campo","Alto Piquiri","129613,13","10439","9982","79","73","399,2695035","396,2151899","3,054313673","90,36503428","6","1656,018959"
"Plantios Florestais","Alto Piquiri","62540,44","9982","9982","79","73","399,2695035","396,2151899","3,054313673","90,36503428","6","1656,018959"
"Agricultura Anual","Alto Piquiri","35272412,57","10595","9982","82","73","384,7726229","396,2151899","11,44256702","219,0684111","-9","-22560,34478"
"Plantios Florestais","Alto Piquiri","62540,44","9982","9982","82","73","384,7726229","396,2151899","11,44256702","219,0684111","-9","-22560,34478"
"Floresta Nativa","Alto Piquiri","574693,13","9936","9982","70","73","349,6071429","396,2151899","46,60804702","382,0419696","3","53418,69025"
"Plantios Florestais","Alto Piquiri","62540,44","9982","9982","70","73","349,6071429","396,2151899","46,60804702","382,0419696","3","53418,69025"
"Várzea","Alto Piquiri","423931,91","10558","9983","20","73","335,416122","335,4782609","0,062138866","39,85363157","53","131,252352"
"Plantios Florestais","Alto Piquiri","63784,24","9983","9983","20","73","335,416122","335,4782609","0,062138866","39,85363157","53","131,252352"
"Floresta Nativa","Alto Piquiri","2177169,86","10496","9983","70","73","339,8297872","335,4782609","4,351526364","6,199358245","-3","-80,93001253"
"Plantios Florestais","Alto Piquiri","63784,24","9983","9983","70","73","339,8297872","335,4782609","4,351526364","6,199358245","-3","-80,93001253"
"Pastagem/Campo","Alto Piquiri","947395,37","10444","9983","79","73","348,294772","335,4782609","12,8165111","563,7321469","6","43350,47591"
"Plantios Florestais","Alto Piquiri","63784,24","9983","9983","79","73","348,294772","335,4782609","12,8165111","563,7321469","6","43350,47591"
"Pastagem/Campo","Alto Piquiri","2290973,64","10446","9984","79","73","365,5844433","351,2978723","14,28657092","713,6131129","6","61170,50608"
"Plantios Florestais","Alto Piquiri","69444,91","9984","9984","79","73","365,5844433","351,2978723","14,28657092","713,6131129","6","61170,50608"
"Várzea","Alto Piquiri","423931,91","10558","9984","20","73","335,416122","351,2978723","15,88175034","388,690876","53","327173,8469"
"Plantios Florestais","Alto Piquiri","69444,91","9984","9984","20","73","335,416122","351,2978723","15,88175034","388,690876","53","327173,8469"
"Pastagem/Campo","Alto Piquiri","2290973,64","10446","9985","79","73","365,5844433","364,6363636","0,948079625","539,2406431","6","3067,4584"
"Plantios Florestais","Alto Piquiri","16360,5","9985","9985","79","73","365,5844433","364,6363636","0,948079625","539,2406431","6","3067,4584"
"Pastagem/Campo","Alto Piquiri","9737704,11","10433","9986","79","36","388,9450379","383,4166667","5,528371265","212,3696416","43","50484,50365"
"Plantios Florestais","Alto Piquiri","13217,72","9986","9986","79","36","388,9450379","383,4166667","5,528371265","212,3696416","43","50484,50365"
"Floresta Nativa","Alto Piquiri","347511,78","9777","9986","70","36","371,8615385","383,4166667","11,55512821","279,1311796","-34","-109663,4833"
"Plantios Florestais","Alto Piquiri","13217,72","9986","9986","70","36","371,8615385","383,4166667","11,55512821","279,1311796","-34","-109663,4833"
"Agricultura Anual","Alto Piquiri","15294311,74","10152","9987","82","73","360,3640605","372,5925926","12,22853212","264,5479018","-9","-29115,29262"
"Plantios Florestais","Alto Piquiri","28540,01","9987","9987","82","73","360,3640605","372,5925926","12,22853212","264,5479018","-9","-29115,29262"
"Pastagem/Campo","Alto Piquiri","223026,61","10426","9987","79","73","349,092827","372,5925926","23,49976559","425,3116819","-6","-59968,34896"
"Plantios Florestais","Alto Piquiri","28540,01","9987","9987","79","73","349,092827","372,5925926","23,49976559","425,3116819","-6","-59968,34896"
"Floresta Nativa","Alto Piquiri","347511,78","9777","9988","70","73","371,8615385","368,3061224","3,555416013","926,2282962","-3","-9879,380748"
"Plantios Florestais","Alto Piquiri","77985,91","9988","9988","70","73","371,8615385","368,3061224","3,555416013","926,2282962","-3","-9879,380748"
"Pastagem/Campo","Alto Piquiri","9737704,11","10433","9988","79","73","388,9450379","368,3061224","20,63891548","677,6379436","6","83914,27347"
"Plantios Florestais","Alto Piquiri","77985,91","9988","9988","79","73","388,9450379","368,3061224","20,63891548","677,6379436","6","83914,27347"
"Agricultura Anual","Alto Piquiri","15294311,74","10152","9989","82","73","360,3640605","374,8333333","14,46927286","1140,741922","-9","-148551,3551"
"Plantios Florestais","Alto Piquiri","72992,58","9989","9989","82","73","360,3640605","374,8333333","14,46927286","1140,741922","-9","-148551,3551"
"Agricultura Anual","Alto Piquiri","1488432,92","10101","9990","82","73","383,1501272","379,68","3,470127226","210,1611473","9","6563,573273"
"Plantios Florestais","Alto Piquiri","133213,57","9990","9990","82","73","383,1501272","379,68","3,470127226","210,1611473","9","6563,573273"
"Floresta Nativa","Alto Piquiri","347511,78","9777","9990","70","73","371,8615385","379,68","7,818461538","1007,830016","3","23639,04065"
"Plantios Florestais","Alto Piquiri","133213,57","9990","9990","70","73","371,8615385","379,68","7,818461538","1007,830016","3","23639,04065"
"Pastagem/Campo","Alto Piquiri","29091,63","10428","9990","79","73","371","379,68","8,68","373,5636227","-6","-19455,19347"
"Plantios Florestais","Alto Piquiri","133213,57","9990","9990","79","73","371","379,68","8,68","373,5636227","-6","-19455,19347"
"Pastagem/Campo","Alto Piquiri","9737704,11","10433","9990","79","73","388,9450379","379,68","9,265037932","1417,140724","6","78779,17539"
"Plantios Florestais","Alto Piquiri","133213,57","9990","9990","79","73","388,9450379","379,68","9,265037932","1417,140724","6","78779,17539"
"Floresta Nativa","Alto Piquiri","347511,78","9777","9991","70","36","371,8615385","379,6428571","7,781318681","33,19941577","-34","-8783,397961"
"Plantios Florestais","Alto Piquiri","19672,14","9991","9991","70","36","371,8615385","379,6428571","7,781318681","33,19941577","-34","-8783,397961"
"Pastagem/Campo","Alto Piquiri","9737704,11","10433","9991","79","36","388,9450379","379,6428571","9,302180789","739,0771787","43","295626,2699"
"Plantios Florestais","Alto Piquiri","19672,14","9991","9991","79","36","388,9450379","379,6428571","9,302180789","739,0771787","43","295626,2699"
"Floresta Nativa","Alto Piquiri","2177169,86","10496","9992","70","73","339,8297872","343,5","3,670212766","278,0186349","3","3061,162629"
"Plantios Florestais","Alto Piquiri","20368,8","9992","9992","70","73","339,8297872","343,5","3,670212766","278,0186349","3","3061,162629"
"Pastagem/Campo","Alto Piquiri","4952482,64","10429","9992","79","73","371,4220553","343,5","27,92205527","430,1863544","6","72070,123"
"Plantios Florestais","Alto Piquiri","20368,8","9992","9992","79","73","371,4220553","343,5","27,92205527","430,1863544","6","72070,123"
"Pastagem/Campo","Alto Piquiri","4952482,64","10429","9993","79","36","371,4220553","370,8918919","0,53016338","881,8698601","43","20104,00955"
"Plantios Florestais","Alto Piquiri","93805,75","9993","9993","79","36","371,4220553","370,8918919","0,53016338","881,8698601","43","20104,00955"
"Floresta Nativa","Alto Piquiri","243812,13","9781","9993","70","36","351,7829457","370,8918919","19,10894616","820,0711731","-34","-532803,6603"
"Plantios Florestais","Alto Piquiri","93805,75","9993","9993","70","36","351,7829457","370,8918919","19,10894616","820,0711731","-34","-532803,6603"
"Agricultura Anual","Alto Piquiri","35272412,57","10595","9994","82","36","384,7726229","380,4736842","4,298938644","241,7819683","46","47812,66896"
"Plantios Florestais","Alto Piquiri","10029,61","9994","9994","82","36","384,7726229","380,4736842","4,298938644","241,7819683","46","47812,66896"
"Floresta Nativa","Alto Piquiri","347511,78","9777","9994","70","36","371,8615385","380,4736842","8,612145749","367,1145232","-34","-107495,8885"
"Plantios Florestais","Alto Piquiri","10029,61","9994","9994","70","36","371,8615385","380,4736842","8,612145749","367,1145232","-34","-107495,8885"
"Pastagem/Campo","Alto Piquiri","524111,52","10307","9995","79","73","358,6036866","358,119403","0,484283651","601,9847974","6","1749,188373"
"Plantios Florestais","Alto Piquiri","37426,54","9995","9995","79","73","358,6036866","358,119403","0,484283651","601,9847974","6","1749,188373"
"Floresta Nativa","Alto Piquiri","419102,18","9783","9995","70","73","353,9784689","358,119403","4,140934085","207,6618464","3","2579,742054"
"Plantios Florestais","Alto Piquiri","37426,54","9995","9995","70","73","353,9784689","358,119403","4,140934085","207,6618464","3","2579,742054"
"Agricultura Anual","Alto Piquiri","35272412,57","10595","9995","82","73","384,7726229","358,119403","26,65321987","780,8273157","9","187304,0591"
"Plantios Florestais","Alto Piquiri","37426,54","9995","9995","82","73","384,7726229","358,119403","26,65321987","780,8273157","9","187304,0591"
"Floresta Nativa","Alto Piquiri","419102,18","9783","9996","70","73","353,9784689","357,862069","3,883600066","401,7165553","3","4680,319322"
"Plantios Florestais","Alto Piquiri","14180,61","9996","9996","70","73","353,9784689","357,862069","3,883600066","401,7165553","3","4680,319322"
"Agricultura Anual","Alto Piquiri","35272412,57","10595","9996","82","73","384,7726229","357,862069","26,91055389","293,0395055","9","70972,69864"
"Plantios Florestais","Alto Piquiri","14180,61","9996","9996","82","73","384,7726229","357,862069","26,91055389","293,0395055","9","70972,69864"
"Pastagem/Campo","Alto Piquiri","17719,96","10328","9997","79","73","328,4516129","334,3142857","5,862672811","231,5202542","-6","-8143,964995"
"Plantios Florestais","Alto Piquiri","21051,25","9997","9997","79","73","328,4516129","334,3142857","5,862672811","231,5202542","-6","-8143,964995"
"Floresta Nativa","Alto Piquiri","574693,13","9936","9997","70","73","349,6071429","334,3142857","15,29285714","150,089838","-3","-6885,907354"
"Plantios Florestais","Alto Piquiri","21051,25","9997","9997","70","73","349,6071429","334,3142857","15,29285714","150,089838","-3","-6885,907354"
"Agricultura Anual","Alto Piquiri","2181479,03","10153","9997","82","73","367,9989265","334,3142857","33,68464075","200,9241246","9","60912,5126"
"Plantios Florestais","Alto Piquiri","21051,25","9997","9997","82","73","367,9989265","334,3142857","33,68464075","200,9241246","9","60912,5126"
"Agricultura Anual","Alto Piquiri","3631899,04","10149","9998","82","73","339,485872","357","17,51412796","386,9645026","-9","-60996,11235"
"Plantios Florestais","Alto Piquiri","17156,65","9998","9998","82","73","339,485872","357","17,51412796","386,9645026","-9","-60996,11235"
"Pastagem/Campo","Alto Piquiri","141723,88","10329","9998","79","73","330,4230769","357","26,57692308","151,1310089","-6","-24099,58318"
"Plantios Florestais","Alto Piquiri","17156,65","9998","9998","79","73","330,4230769","357","26,57692308","151,1310089","-6","-24099,58318"
"Floresta Nativa","Alto Piquiri","2539,45","10517","9999","70","73","324","325,5","1,5","133,4808157","3","600,6636707"
"Plantios Florestais","Alto Piquiri","12188,13","9999","9999","70","73","324","325,5","1,5","133,4808157","3","600,6636707"
"Floresta Nativa","Alto Piquiri","660,86","10516","9999","70","73","322,5","325,5","3","26,55970996","3","239,0373896"
"Plantios Florestais","Alto Piquiri","12188,13","9999","9999","70","73","322,5","325,5","3","26,55970996","3","239,0373896"
"Pastagem/Campo","Alto Piquiri","1028350,99","10404","9999","79","73","356,1221374","325,5","30,62213741","162,9660056","6","29942,20449"
"Plantios Florestais","Alto Piquiri","12188,13","9999","9999","79","73","356,1221374","325,5","30,62213741","162,9660056","6","29942,20449"
"Agricultura Anual","Alto Piquiri","6018581,78","10168","9999","82","73","365,4918999","325,5","39,99189985","350,1989515","9","126046,0926"
"Plantios Florestais","Alto Piquiri","12188,13","9999","9999","82","73","365,4918999","325,5","39,99189985","350,1989515","9","126046,0926"
"Floresta Nativa","Alto Piquiri","210227,29","10528","10000","70","73","330,3699187","331,0519481","0,682029353","391,3440216","3","800,7243295"
"Plantios Florestais","Alto Piquiri","57208,07","10000","10000","70","73","330,3699187","331,0519481","0,682029353","391,3440216","3","800,7243295"
"Agricultura Anual","Alto Piquiri","410580,69","10159","10000","82","73","336,340796","331,0519481","5,288847968","828,7769149","9","39449,47592"
"Plantios Florestais","Alto Piquiri","57208,07","10000","10000","82","73","336,340796","331,0519481","5,288847968","828,7769149","9","39449,47592"
"Agricultura Anual","Alto Piquiri","2181479,03","10153","10001","82","73","367,9989265","369,9333333","1,93440687","106,407372","-9","-1852,516362"
"Plantios Florestais","Alto Piquiri","10159,32","10001","10001","82","73","367,9989265","369,9333333","1,93440687","106,407372","-9","-1852,516362"
"Várzea","Alto Piquiri","866854,56","10530","10001","20","73","350,5979573","369,9333333","19,33537604","313,8434676","53","321618,9177"
"Plantios Florestais","Alto Piquiri","10159,32","10001","10001","20","73","350,5979573","369,9333333","19,33537604","313,8434676","53","321618,9177"
"Agricultura Anual","Alto Piquiri","309645,24","10154","10002","82","73","398,7491749","393,2743056","5,474869361","25,98607257","9","1280,433173"
"Plantios Florestais","Alto Piquiri","290075,06","10002","10002","82","73","398,7491749","393,2743056","5,474869361","25,98607257","9","1280,433173"
"Pastagem/Campo","Alto Piquiri","62132,2","10403","10002","79","73","385,7435897","393,2743056","7,530715812","93,4482505","-6","-4222,393306"
"Plantios Florestais","Alto Piquiri","290075,06","10002","10002","79","73","385,7435897","393,2743056","7,530715812","93,4482505","-6","-4222,393306"
"Pastagem/Campo","Alto Piquiri","125266,55","10409","10002","79","73","384,832","393,2743056","8,442305556","1007,872555","-6","-51052,60845"
"Plantios Florestais","Alto Piquiri","290075,06","10002","10002","79","73","384,832","393,2743056","8,442305556","1007,872555","-6","-51052,60845"
"Pastagem/Campo","Alto Piquiri","3303813,12","10413","10002","79","73","381,2717272","393,2743056","12,00257838","1597,532143","-6","-115047,0286"
"Plantios Florestais","Alto Piquiri","290075,06","10002","10002","79","73","381,2717272","393,2743056","12,00257838","1597,532143","-6","-115047,0286"
"Agricultura Anual","Alto Piquiri","123436,61","10162","10002","82","73","409,8931298","393,2743056","16,61882422","934,5173882","9","139775,2218"
"Plantios Florestais","Alto Piquiri","290075,06","10002","10002","82","73","409,8931298","393,2743056","16,61882422","934,5173882","9","139775,2218"
"Várzea","Alto Piquiri","866854,56","10530","10002","20","73","350,5979573","393,2743056","42,67634827","620,1882622","53","1402770,624"
"Plantios Florestais","Alto Piquiri","290075,06","10002","10002","20","73","350,5979573","393,2743056","42,67634827","620,1882622","53","1402770,624"
"Pastagem/Campo","Alto Piquiri","402009,2","10399","10003","52","36","369,2921053","389,4285714","20,13646617","266,5075777","-16","-85864,33313"
"Plantios Florestais","Alto Piquiri","17945,1","10003","10003","52","36","369,2921053","389,4285714","20,13646617","266,5075777","-16","-85864,33313"
"Agricultura Anual","Alto Piquiri","32070937,64","9941","10003","82","36","363,9671945","389,4285714","25,46137691","329,8291788","-46","-386303,6317"
"Plantios Florestais","Alto Piquiri","17945,1","10003","10003","82","36","363,9671945","389,4285714","25,46137691","329,8291788","-46","-386303,6317"
"Agricultura Anual","Alto Piquiri","1584965,55","10155","10004","82","73","389,5267925","395,7272727","6,200480274","154,5478104","-9","-8624,435847"
"Plantios Florestais","Alto Piquiri","89311,37","10004","10004","82","73","389,5267925","395,7272727","6,200480274","154,5478104","-9","-8624,435847"
"Pastagem/Campo","Alto Piquiri","9737704,11","10433","10004","79","73","388,9450379","395,7272727","6,782234795","498,0001355","-6","-20265,32308"
"Plantios Florestais","Alto Piquiri","89311,37","10004","10004","79","73","388,9450379","395,7272727","6,782234795","498,0001355","-6","-20265,32308"
"Plantios Florestais","Alto Piquiri","25381,64","10005","10005","20","73","374,3650794","382,9375","8,572420635","0,9542795219","53","433,5657296"
"Várzea","Alto Piquiri","133232,71","10559","10005","20","73","374,3650794","382,9375","8,572420635","0,9542795219","53","433,5657296"
"Várzea","Alto Piquiri","133232,71","10559","10005","20","73","374,3650794","382,9375","8,572420635","0,9542795219","53","433,5657296"
"Plantios Florestais","Alto Piquiri","25381,64","10005","10005","20","73","374,3650794","382,9375","8,572420635","0,9542795219","53","433,5657296"
"Agricultura Anual","Alto Piquiri","32070937,64","9941","10005","82","73","363,9671945","382,9375","18,97030548","857,6044176","-9","-146421,1601"
"Plantios Florestais","Alto Piquiri","25381,64","10005","10005","82","73","363,9671945","382,9375","18,97030548","857,6044176","-9","-146421,1601"
"Floresta Nativa","Alto Piquiri","574693,13","9936","10006","70","73","349,6071429","336,2708333","13,33630952","73,98035485","-3","-2959,874733"
"Plantios Florestais","Alto Piquiri","26730,46","10006","10006","70","73","349,6071429","336,2708333","13,33630952","73,98035485","-3","-2959,874733"
"Várzea","Alto Piquiri","866854,56","10530","10006","20","73","350,5979573","336,2708333","14,32712396","749,9267448","-53","-569447,5518"
"Plantios Florestais","Alto Piquiri","26730,46","10006","10006","20","73","350,5979573","336,2708333","14,32712396","749,9267448","-53","-569447,5518"
"Agricultura Anual","Alto Piquiri","2181479,03","10153","10006","82","73","367,9989265","336,2708333","31,72809313","634,7876151","9","181265,4051"
"Plantios Florestais","Alto Piquiri","26730,46","10006","10006","82","73","367,9989265","336,2708333","31,72809313","634,7876151","9","181265,4051"
"Pastagem/Campo","Alto Piquiri","9737704,11","10433","10007","79","36","388,9450379","401,7222222","12,77718429","773,4870541","-43","-424968,4253"
"Plantios Florestais","Alto Piquiri","40838,96","10007","10007","79","36","388,9450379","401,7222222","12,77718429","773,4870541","-43","-424968,4253"
"Agricultura Anual","Alto Piquiri","309645,24","10154","10008","82","73","398,7491749","383,1627907","15,58638422","143,1014112","9","20073,90219"
"Plantios Florestais","Alto Piquiri","32091,32","10008","10008","82","73","398,7491749","383,1627907","15,58638422","143,1014112","9","20073,90219"
"Agricultura Anual","Alto Piquiri","15294311,74","10152","10009","82","73","360,3640605","351,5071429","8,856917618","1925,498447","9","153485,83"
"Plantios Florestais","Alto Piquiri","111184,07","10009","10009","82","73","360,3640605","351,5071429","8,856917618","1925,498447","9","153485,83"
"Agricultura Anual","Alto Piquiri","15294311,74","10152","10009","82","73","360,3640605","351,5071429","8,856917618","1925,498447","9","153485,83"
"Plantios Florestais","Alto Piquiri","111184,07","10009","10009","82","73","360,3640605","351,5071429","8,856917618","1925,498447","9","153485,83"
"Várzea","Alto Piquiri","85019,79","10521","10009","20","73","337,2941176","351,5071429","14,21302521","395,1901856","53","297692,9477"
