"Uso_solo","Municipio","Area_m2","Fid_1","Last_last","Cn_mancha1","Cn_mancha2","Altitude_mancha1","Altitude_mancha2","Dif_altitude","Comprimento","Dif_cn","Valoracao"
"Floresta Nativa","Alto Piquiri","1333415,99","9711","10220","55","69","370,5298507","364,8108108","5,719039935","282,6642542","-14","-22631,95421"
"Pastagem/Campo","Alto Piquiri","84117,83","10220","10220","55","69","370,5298507","364,8108108","5,719039935","282,6642542","-14","-22631,95421"
"Agricultura Anual","Alto Piquiri","117000000","9505","10220","82","69","352,2107826","364,8108108","12,60002824","993,831466","-13","-162789,9589"
"Pastagem/Campo","Alto Piquiri","84117,83","10220","10220","82","69","352,2107826","364,8108108","12,60002824","993,831466","-13","-162789,9589"
"Floresta Nativa","Alto Piquiri","2243831,65","9800","10221","55","69","296,6035479","282,9058824","13,6976655","952,9805862","-14","-182750,5302"
"Pastagem/Campo","Alto Piquiri","98371,82","10221","10221","55","69","296,6035479","282,9058824","13,6976655","952,9805862","-14","-182750,5302"
"Floresta Nativa","Alto Piquiri","1845941,98","9710","10221","55","69","337,9273911","282,9058824","55,02150873","602,4674623","-14","-464081,3624"
"Pastagem/Campo","Alto Piquiri","98371,82","10221","10221","55","69","337,9273911","282,9058824","55,02150873","602,4674623","-14","-464081,3624"
"Agricultura Anual","Alto Piquiri","117000000","9505","10221","82","69","352,2107826","282,9058824","69,30490022","680,697842","13","613284,0483"
"Pastagem/Campo","Alto Piquiri","98371,82","10221","10221","82","69","352,2107826","282,9058824","69,30490022","680,697842","13","613284,0483"
"Agricultura Anual","Alto Piquiri","117000000","9505","10221","82","69","352,2107826","282,9058824","69,30490022","680,697842","13","613284,0483"
"Pastagem/Campo","Alto Piquiri","98371,82","10221","10221","82","69","352,2107826","282,9058824","69,30490022","680,697842","13","613284,0483"
"Floresta Nativa","Alto Piquiri","120811,05","9674","10222","30","52","334,7421384","331,4368932","3,305245161","813,4500697","-22","-59150,34194"
"Pastagem/Campo","Alto Piquiri","60449,62","10222","10222","30","52","334,7421384","331,4368932","3,305245161","813,4500697","-22","-59150,34194"
"Agricultura Anual","Alto Piquiri","117000000","9505","10222","82","52","352,2107826","331,4368932","20,77388937","1470,577367","30","916488,3462"
"Pastagem/Campo","Alto Piquiri","60449,62","10222","10222","82","52","352,2107826","331,4368932","20,77388937","1470,577367","30","916488,3462"
"Floresta Nativa","Alto Piquiri","120811,05","9674","10223","30","52","334,7421384","329,2539683","5,488170111","866,5978411","-22","-104632,8001"
"Pastagem/Campo","Alto Piquiri","44571,62","10223","10223","30","52","334,7421384","329,2539683","5,488170111","866,5978411","-22","-104632,8001"
"Agricultura Anual","Alto Piquiri","117000000","9505","10223","82","52","352,2107826","329,2539683","22,95681432","628,2289928","30","432664,0902"
"Pastagem/Campo","Alto Piquiri","44571,62","10223","10223","82","52","352,2107826","329,2539683","22,95681432","628,2289928","30","432664,0902"
"Floresta Nativa","Alto Piquiri","120811,05","9674","10224","30","69","334,7421384","328,384106","6,358032405","587,8566762","-39","-145766,8601"
"Pastagem/Campo","Alto Piquiri","624510,5","10224","10224","30","69","334,7421384","328,384106","6,358032405","587,8566762","-39","-145766,8601"
"Agricultura Anual","Alto Piquiri","117000000","9505","10224","82","69","352,2107826","328,384106","23,82667662","4930,793994","13","1527297,641"
"Pastagem/Campo","Alto Piquiri","624510,5","10224","10224","82","69","352,2107826","328,384106","23,82667662","4930,793994","13","1527297,641"
"Agricultura Anual","Alto Piquiri","117000000","9505","10224","82","69","352,2107826","328,384106","23,82667662","4930,793994","13","1527297,641"
"Pastagem/Campo","Alto Piquiri","624510,5","10224","10224","82","69","352,2107826","328,384106","23,82667662","4930,793994","13","1527297,641"
"Agricultura Anual","Alto Piquiri","117000000","9505","10224","82","69","352,2107826","328,384106","23,82667662","4930,793994","13","1527297,641"
"Pastagem/Campo","Alto Piquiri","624510,5","10224","10224","82","69","352,2107826","328,384106","23,82667662","4930,793994","13","1527297,641"
"Floresta Nativa","Alto Piquiri","54136,87","9690","10224","55","69","301,0615385","328,384106","27,3225675","2230,006927","14","853013,2071"
"Pastagem/Campo","Alto Piquiri","624510,5","10224","10224","55","69","301,0615385","328,384106","27,3225675","2230,006927","14","853013,2071"
"Várzea","Alto Piquiri","115406,07","10461","10224","20","69","287,1538462","328,384106","41,23025981","80,9315397","-49","-163504,592"
"Pastagem/Campo","Alto Piquiri","624510,5","10224","10224","20","69","287,1538462","328,384106","41,23025981","80,9315397","-49","-163504,592"
"Floresta Nativa","Alto Piquiri","1845941,98","9710","10225","55","69","337,9273911","291,9411765","45,98621462","1655,106353","-14","-1065569,063"
"Pastagem/Campo","Alto Piquiri","28739,31","10225","10225","55","69","337,9273911","291,9411765","45,98621462","1655,106353","-14","-1065569,063"
"Floresta Nativa","Alto Piquiri","2243831,65","9800","10226","55","69","296,6035479","280,9069767","15,69657111","549,6622739","-14","-120789,3816"
"Pastagem/Campo","Alto Piquiri","35318,52","10226","10226","55","69","296,6035479","280,9069767","15,69657111","549,6622739","-14","-120789,3816"
"Agricultura Anual","Alto Piquiri","117000000","9505","10226","82","69","352,2107826","280,9069767","71,30380583","911,251974","13","844684,5396"
"Pastagem/Campo","Alto Piquiri","35318,52","10226","10226","82","69","352,2107826","280,9069767","71,30380583","911,251974","13","844684,5396"
"Várzea","Alto Piquiri","85430,31","10472","10227","20","52","354,8829787","358,2982456","3,415266891","308,5222941","32","33717,95124"
"Pastagem/Campo","Alto Piquiri","44906,78","10227","10227","20","52","354,8829787","358,2982456","3,415266891","308,5222941","32","33717,95124"
"Agricultura Anual","Alto Piquiri","117000000","9505","10227","82","52","352,2107826","358,2982456","6,087463039","247,7453692","-30","-45244,22334"
"Pastagem/Campo","Alto Piquiri","44906,78","10227","10227","82","52","352,2107826","358,2982456","6,087463039","247,7453692","-30","-45244,22334"
"Floresta Nativa","Alto Piquiri","120811,05","9674","10227","30","52","334,7421384","358,2982456","23,55610725","521,4917312","22","270254,9333"
"Pastagem/Campo","Alto Piquiri","44906,78","10227","10227","30","52","334,7421384","358,2982456","23,55610725","521,4917312","22","270254,9333"
"Agricultura Anual","Alto Piquiri","117000000","9505","10228","82","79","352,2107826","355","2,789217425","829,7797841","-3","-6943,308698"
"Pastagem/Campo","Alto Piquiri","29427,07","10228","10228","82","79","352,2107826","355","2,789217425","829,7797841","-3","-6943,308698"
"Agricultura Anual","Alto Piquiri","117000000","9505","10229","82","79","352,2107826","345,7272727","6,483509848","318,7209751","3","6199,291742"
"Pastagem/Campo","Alto Piquiri","10744,38","10229","10229","82","79","352,2107826","345,7272727","6,483509848","318,7209751","3","6199,291742"
"Agricultura Anual","Alto Piquiri","117000000","9505","10230","82","52","352,2107826","339,137931","13,07285154","486,2601487","30","190704,202"
"Pastagem/Campo","Alto Piquiri","15503,28","10230","10230","82","52","352,2107826","339,137931","13,07285154","486,2601487","30","190704,202"
"Floresta Nativa","Alto Piquiri","1952777,44","9740","10230","70","52","311,048522","339,137931","28,089409","163,0387675","-18","-82433,92723"
"Pastagem/Campo","Alto Piquiri","15503,28","10230","10230","70","52","311,048522","339,137931","28,089409","163,0387675","-18","-82433,92723"
"Floresta Nativa","Alto Piquiri","1952777,44","9740","10231","70","52","311,048522","291,7017544","19,34676764","642,5654896","18","223768,174"
"Pastagem/Campo","Alto Piquiri","43717,57","10231","10231","70","52","311,048522","291,7017544","19,34676764","642,5654896","18","223768,174"
"Agricultura Anual","Alto Piquiri","117000000","9505","10231","82","52","352,2107826","291,7017544","60,50902819","571,9608841","30","1038263,918"
"Pastagem/Campo","Alto Piquiri","43717,57","10231","10231","82","52","352,2107826","291,7017544","60,50902819","571,9608841","30","1038263,918"
"Agricultura Anual","Alto Piquiri","117000000","9505","10232","82","52","352,2107826","410,6052632","-58,39448058","549,5064988","-30","962644,3972"
"Pastagem/Campo","Alto Piquiri","30189,05","10232","10232","82","52","352,2107826","410,6052632","-58,39448058","549,5064988","-30","962644,3972"
"Área Urbanizada","Alto Piquiri","502008,42","10584","10232","86","52","410,1742857","410,6052632","0,430977444","432,8321883","-34","-6342,390947"
"Pastagem/Campo","Alto Piquiri","30189,05","10232","10232","86","52","410,1742857","410,6052632","0,430977444","432,8321883","-34","-6342,390947"
"Floresta Nativa","Alto Piquiri","1952777,44","9740","10233","70","52","311,048522","299,641791","11,40673098","1343,744555","18","275899,1878"
"Pastagem/Campo","Alto Piquiri","97831,37","10233","10233","70","52","311,048522","299,641791","11,40673098","1343,744555","18","275899,1878"
"Agricultura Anual","Alto Piquiri","117000000","9505","10233","82","52","352,2107826","299,641791","52,56899153","329,7175493","30","519987,5717"
"Pastagem/Campo","Alto Piquiri","97831,37","10233","10233","82","52","352,2107826","299,641791","52,56899153","329,7175493","30","519987,5717"
"Agricultura Anual","Alto Piquiri","117000000","9505","10233","82","52","352,2107826","299,641791","52,56899153","329,7175493","30","519987,5717"
"Pastagem/Campo","Alto Piquiri","97831,37","10233","10233","82","52","352,2107826","299,641791","52,56899153","329,7175493","30","519987,5717"
"Floresta Nativa","Alto Piquiri","1952777,44","9740","10234","70","79","311,048522","344,0606061","33,01208403","581,7366258","9","172839,0454"
"Pastagem/Campo","Alto Piquiri","19637,17","10234","10234","70","79","311,048522","344,0606061","33,01208403","581,7366258","9","172839,0454"
"Floresta Nativa","Alto Piquiri","76859,93","9734","10235","70","79","356,3297872","357,8832487","1,553461497","544,3518183","9","7610,666314"
"Pastagem/Campo","Alto Piquiri","478460,31","10235","10235","70","79","356,3297872","357,8832487","1,553461497","544,3518183","9","7610,666314"
"Agricultura Anual","Alto Piquiri","117000000","9505","10235","82","79","352,2107826","357,8832487","5,672466156","18,01327337","-3","-306,5390507"
"Pastagem/Campo","Alto Piquiri","478460,31","10235","10235","82","79","352,2107826","357,8832487","5,672466156","18,01327337","-3","-306,5390507"
